SMILES,IL_SMILES,T/K,r,Normalized SMILES,index
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],323.15,3.193,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],12
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],333.15,3.242,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],12
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],343.15,3.291,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],12
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],353.15,3.334,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],12
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],363.15,3.366,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],12
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,303.15,2.723,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,313.15,2.749,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,323.15,2.777,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,333.15,2.804,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,343.15,2.833,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,353.15,2.853,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,363.15,2.875,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,303.15,2.97,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,13
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,313.15,3.02,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,13
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,323.15,3.06,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,13
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,333.15,3.1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,13
Cc1ccccc1,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,343.15,3.14,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,13
